Ticker,Model,MAE,MSE,RMSE,MAPE,R2,Epochs_Trained
AAPL,ANN,0.039271299160912675,0.0025097350855300864,0.050097256267485214,3.5521148021027855,0.4174925965528937,11
AAPL,LSTM,0.02607796770680446,0.0009380015913112501,0.030626811641293158,2.28365039468465,0.7822906192234367,40
AAPL,Transformer,0.04258143282575505,0.002378056858155927,0.04876532434174848,3.77013224647666,0.44805500242611707,30
AAPL,GRU,0.01181124958719322,0.000235908228758516,0.01535930430581138,1.0564542024341226,0.9452458984303896,32
ABT,ANN,0.05145362800693964,0.0032856350237891224,0.05732045903330784,5.437288957139623,0.6700112183144024,12
ABT,LSTM,0.013489749561585542,0.00028604710591007216,0.016912927183372846,1.500789404260294,0.9712712047136937,48
ABT,Transformer,0.0327277287270841,0.0016147388515368173,0.04018381330258264,3.772599940514934,0.837825655466584,52
ABT,GRU,0.012903277884944718,0.00031499613838463253,0.017748130560276836,1.4830005687689112,0.9683637436329312,25
JPM,ANN,0.12818314575626974,0.018927514373624933,0.137577303264837,8.02771315158535,-2.182388755630832,13
JPM,LSTM,0.1501089786608957,0.02422946192097328,0.15565815725805468,9.368540912583287,-3.0738348232210804,22
JPM,Transformer,0.0820076616119595,0.00899473005012079,0.09484055066331484,5.210754085786384,-0.5123342244730809,36
JPM,GRU,0.05291797077856999,0.0041585408021037875,0.06448674904275907,3.3468058789803523,0.3008012976659774,13
XOM,ANN,0.055887314278621064,0.006416207378812336,0.08010123206800465,4.922345825409195,0.43794394693481253,11
XOM,LSTM,0.029751740153296687,0.0014864026847971935,0.038553893250840354,2.581820186507818,0.8697919850531308,14
XOM,Transformer,0.02731186460983044,0.0012478437227647866,0.03532483153200856,2.4246818793362928,0.8906896120634477,100
XOM,GRU,0.014955669374589847,0.0003538054688015088,0.01880971740355258,1.3825106764828605,0.9690068456945256,14
WMT,ANN,0.15840288107692765,0.03458201376330514,0.185962398788855,8.829128675801122,-1.6767994864861286,11
WMT,LSTM,0.3404229204429292,0.122654189988465,0.3502202021421166,19.191815427255705,-8.493972069517685,49
WMT,Transformer,0.3419067915337259,0.12741719729599438,0.35695545561875697,19.241864835479326,-8.862649718025619,80
WMT,GRU,0.14723643653501345,0.026989135015240022,0.16428370282909996,8.17022095943513,-1.089077381206692,20
