Stock,Model,MAE,MSE,RMSE,MAPE,R2
AAPL,ANN,0.15607031315690012,0.025291222935264222,0.15903214434592844,14.057624289155097,-4.933775572166907
AAPL,LSTM,0.06464691040940958,0.005088346976383888,0.07133265014272137,5.6734110254987,-0.19381767613447454
AAPL,GRU,0.011304492288790605,0.00023234659506586938,0.01524291950598275,1.0276566410133208,0.9454873117995546
AAPL,Transformer,0.12391793966390866,0.018681949795769242,0.13668192929487513,10.86306135412592,-3.3831212758010487
ABT,ANN,0.2017747073153256,0.04205333803909314,0.20506910552078084,21.594025366962292,-3.4195641213129875
ABT,LSTM,0.03044158310749721,0.0012040088117767516,0.03469883012115468,3.3052636605997443,0.873465594067073
ABT,GRU,0.01783616819087212,0.0005160411768227855,0.022716539719393566,1.9857554415167593,0.945767038324378
ABT,Transformer,0.13848142110548883,0.024060355931164276,0.15511400946131293,14.713006470325107,-1.5286051185887466
JPM,ANN,0.18171159172469364,0.034205682851693286,0.18494778412214968,11.665347442529143,-2.9081540299565787
JPM,LSTM,0.15064765213977852,0.02504608483869128,0.15825954896527186,9.453969171199853,-1.8616285142256745
JPM,GRU,0.07226506861063928,0.006393619570803306,0.07996011237362856,4.529918183164365,0.2695000360033085
JPM,Transformer,0.4704466192482954,0.2275057598511569,0.4769756386348855,29.782609408153732,-24.99356241638713
XOM,ANN,0.22058613975246022,0.04994572112547163,0.22348539353942493,20.5391868850563,-3.5145182484312967
XOM,LSTM,0.03041027816477631,0.0016228236339631953,0.04028428519861306,2.658873572495024,0.8533154243361972
XOM,GRU,0.01742711398833696,0.0005231211302684798,0.022871841427145295,1.5564766973050572,0.9527158716398499
XOM,Transformer,0.050911635053271925,0.0038456715691756863,0.062013478931403986,4.7006021617190665,0.6523955589127934
WMT,ANN,0.1495789986043364,0.029154336071809336,0.17074640866445576,8.759319214675187,-0.8635629682442567
WMT,LSTM,0.4085772009195478,0.17593487836947885,0.41944591828921024,23.282865879459493,-10.245864880762854
WMT,GRU,0.129774778704591,0.020527194558989895,0.14327314667790994,7.2806364902339675,-0.3121108135632642
WMT,Transformer,0.8770976683411356,0.790857021500201,0.889301423309443,50.213864133864426,-49.55206384441808
