,AAPL,ABT,JPM,XOM,WMT
Day_1,1.1657338,0.73029155,1.5654871,1.128044,1.6177393
Day_2,1.1656895,0.7329008,1.5643122,1.1257503,1.605545
Day_3,1.1658622,0.7348212,1.5637534,1.1238399,1.596501
Day_4,1.1660224,0.73604935,1.5636148,1.1224413,1.5896907
Day_5,1.1660542,0.7367458,1.5633395,1.1214263,1.583921
Day_6,1.1659498,0.7370557,1.5639336,1.1207075,1.5789229
Day_7,1.1658602,0.737088,1.5638127,1.1200882,1.5747305
Day_8,1.165676,0.7369228,1.563132,1.1196252,1.571163
Day_9,1.1654601,0.7366552,1.5627439,1.1192802,1.5677447
Day_10,1.1652131,0.7363252,1.5623949,1.1189055,1.5650836
