Ticker,Model,MAE,MSE,RMSE,MAPE,R2
AAPL,RandomForest,0.12681531536923088,0.02028859888139733,0.1424380527857543,11.012409444408448,-3.7089667439886256
AAPL,XGBoost,0.13377278965447173,0.022097557534962783,0.14865247234729326,11.635722842086091,-4.128824526711149
ABT,RandomForest,0.03263222815354968,0.0013164027440120854,0.03628226486883206,3.466003137995502,0.8677886817741671
ABT,XGBoost,0.03757656146806152,0.0018383460171271541,0.042875937507268036,3.9681490411894513,0.8153679401040816
JPM,RandomForest,0.6141060678063083,0.38295919753945884,0.6188369716972789,38.56016350813796,-63.389069798475305
JPM,XGBoost,0.6498679503597182,0.4282019096505487,0.6543713851098233,40.81949824833982,-70.99597979491985
XOM,RandomForest,0.12219939178753433,0.024095727854660277,0.1552279866991139,10.449443261114356,-1.1107718148957555
XOM,XGBoost,0.13290720927212787,0.027256722015293285,0.16509609933397362,11.408239462528488,-1.3876730739720102
WMT,RandomForest,0.7718639566501196,0.6087326706688421,0.7802132212855932,43.7722606146716,-46.118577634212144
WMT,XGBoost,0.7788917491441332,0.6194922379860507,0.7870782921578073,44.177291264362,-46.951415318756645
